TIME,GEO,UNIT,ICHA11_HF,Value
2007,Germany (until 1990 former territory of the FRG),Euro per inhabitant,Voluntary schemes (non-resident),:
2007,Germany (until 1990 former territory of the FRG),Euro per inhabitant,Financing schemes unknown,:
2007,Estonia,Euro per inhabitant,All financing schemes,:
2007,Estonia,Euro per inhabitant,Government schemes and compulsory contributory health care financing schemes,:
2007,Estonia,Euro per inhabitant,Government schemes,:
2007,Estonia,Euro per inhabitant,Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA),:
2007,Estonia,Euro per inhabitant,Social health insurance schemes,:
2007,Estonia,Euro per inhabitant,Compulsory private insurance scheme,:
2007,Estonia,Euro per inhabitant,Compulsory medical savings accounts (CMSA),:
2007,Estonia,Euro per inhabitant,Voluntary health care payment schemes,:
2007,Estonia,Euro per inhabitant,Voluntary health insurance schemes,:
2007,Estonia,Euro per inhabitant,NPISH financing schemes,:
2007,Estonia,Euro per inhabitant,Enterprise financing schemes,:
2007,Estonia,Euro per inhabitant,Household out-of-pocket payment,:
2007,Estonia,Euro per inhabitant,Out-of-pocket excluding cost-sharing,:
2007,Estonia,Euro per inhabitant,Cost sharing with third-party payers,:
2007,Estonia,Euro per inhabitant,Rest of the world financing schemes (non-resident),:
2007,Estonia,Euro per inhabitant,Compulsory schemes (non-resident),:
2007,Estonia,Euro per inhabitant,Voluntary schemes (non-resident),:
2007,Estonia,Euro per inhabitant,Financing schemes unknown,:
2007,Ireland,Euro per inhabitant,All financing schemes,:
2007,Ireland,Euro per inhabitant,Government schemes and compulsory contributory health care financing schemes,:
2007,Ireland,Euro per inhabitant,Government schemes,:
2007,Ireland,Euro per inhabitant,Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA),:
2007,Ireland,Euro per inhabitant,Social health insurance schemes,:
2007,Ireland,Euro per inhabitant,Compulsory private insurance scheme,:
2007,Ireland,Euro per inhabitant,Compulsory medical savings accounts (CMSA),:
2007,Ireland,Euro per inhabitant,Voluntary health care payment schemes,:
2007,Ireland,Euro per inhabitant,Voluntary health insurance schemes,:
2007,Ireland,Euro per inhabitant,NPISH financing schemes,:
2007,Ireland,Euro per inhabitant,Enterprise financing schemes,:
2007,Ireland,Euro per inhabitant,Household out-of-pocket payment,:
2007,Ireland,Euro per inhabitant,Out-of-pocket excluding cost-sharing,:
2007,Ireland,Euro per inhabitant,Cost sharing with third-party payers,:
2007,Ireland,Euro per inhabitant,Rest of the world financing schemes (non-resident),:
2007,Ireland,Euro per inhabitant,Compulsory schemes (non-resident),:
2007,Ireland,Euro per inhabitant,Voluntary schemes (non-resident),:
2007,Ireland,Euro per inhabitant,Financing schemes unknown,:
2007,Greece,Euro per inhabitant,All financing schemes,:
2007,Greece,Euro per inhabitant,Government schemes and compulsory contributory health care financing schemes,:
2007,Greece,Euro per inhabitant,Government schemes,:
2007,Greece,Euro per inhabitant,Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA),:
2007,Greece,Euro per inhabitant,Social health insurance schemes,:
2007,Greece,Euro per inhabitant,Compulsory private insurance scheme,:
2007,Greece,Euro per inhabitant,Compulsory medical savings accounts (CMSA),:
2007,Greece,Euro per inhabitant,Voluntary health care payment schemes,:
2007,Greece,Euro per inhabitant,Voluntary health insurance schemes,:
2007,Greece,Euro per inhabitant,NPISH financing schemes,:
2007,Greece,Euro per inhabitant,Enterprise financing schemes,:
2007,Greece,Euro per inhabitant,Household out-of-pocket payment,:
2007,Greece,Euro per inhabitant,Out-of-pocket excluding cost-sharing,:
2007,Greece,Euro per inhabitant,Cost sharing with third-party payers,:
2007,Greece,Euro per inhabitant,Rest of the world financing schemes (non-resident),:
2007,Greece,Euro per inhabitant,Compulsory schemes (non-resident),:
2007,Greece,Euro per inhabitant,Voluntary schemes (non-resident),:
2007,Greece,Euro per inhabitant,Financing schemes unknown,:
2007,Spain,Euro per inhabitant,All financing schemes,1872.78
2007,Spain,Euro per inhabitant,Government schemes and compulsory contributory health care financing schemes,1361.98
2007,Spain,Euro per inhabitant,Government schemes,1267.53
2007,Spain,Euro per inhabitant,Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA),94.45
2007,Spain,Euro per inhabitant,Social health insurance schemes,94.45
2007,Spain,Euro per inhabitant,Compulsory private insurance scheme,0
2007,Spain,Euro per inhabitant,Compulsory medical savings accounts (CMSA),0
2007,Spain,Euro per inhabitant,Voluntary health care payment schemes,117.03
2007,Spain,Euro per inhabitant,Voluntary health insurance schemes,104.25
2007,Spain,Euro per inhabitant,NPISH financing schemes,12.78
2007,Spain,Euro per inhabitant,Enterprise financing schemes,:
2007,Spain,Euro per inhabitant,Household out-of-pocket payment,393.77
2007,Spain,Euro per inhabitant,Out-of-pocket excluding cost-sharing,374.83
2007,Spain,Euro per inhabitant,Cost sharing with third-party payers,18.93
2007,Spain,Euro per inhabitant,Rest of the world financing schemes (non-resident),:
2007,Spain,Euro per inhabitant,Compulsory schemes (non-resident),:
2007,Spain,Euro per inhabitant,Voluntary schemes (non-resident),:
2007,Spain,Euro per inhabitant,Financing schemes unknown,0
2007,France,Euro per inhabitant,All financing schemes,3128.61
2007,France,Euro per inhabitant,Government schemes and compulsory contributory health care financing schemes,2415.62
2007,France,Euro per inhabitant,Government schemes,139.89
2007,France,Euro per inhabitant,Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA),2275.73
2007,France,Euro per inhabitant,Social health insurance schemes,2275.73
2007,France,Euro per inhabitant,Compulsory private insurance scheme,0
2007,France,Euro per inhabitant,Compulsory medical savings accounts (CMSA),0
2007,France,Euro per inhabitant,Voluntary health care payment schemes,422.03
2007,France,Euro per inhabitant,Voluntary health insurance schemes,400.67
2007,France,Euro per inhabitant,NPISH financing schemes,0.11
2007,France,Euro per inhabitant,Enterprise financing schemes,21.25
2007,France,Euro per inhabitant,Household out-of-pocket payment,290.96
2007,France,Euro per inhabitant,Out-of-pocket excluding cost-sharing,121.53
2007,France,Euro per inhabitant,Cost sharing with third-party payers,169.43
2007,France,Euro per inhabitant,Rest of the world financing schemes (non-resident),:
2007,France,Euro per inhabitant,Compulsory schemes (non-resident),:
2007,France,Euro per inhabitant,Voluntary schemes (non-resident),:
2007,France,Euro per inhabitant,Financing schemes unknown,:
2007,Croatia,Euro per inhabitant,All financing schemes,:
2007,Croatia,Euro per inhabitant,Government schemes and compulsory contributory health care financing schemes,:
2007,Croatia,Euro per inhabitant,Government schemes,:
2007,Croatia,Euro per inhabitant,Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA),:
2007,Croatia,Euro per inhabitant,Social health insurance schemes,:
2007,Croatia,Euro per inhabitant,Compulsory private insurance scheme,:
2007,Croatia,Euro per inhabitant,Compulsory medical savings accounts (CMSA),:
2007,Croatia,Euro per inhabitant,Voluntary health care payment schemes,:
2007,Croatia,Euro per inhabitant,Voluntary health insurance schemes,:
2007,Croatia,Euro per inhabitant,NPISH financing schemes,:
2007,Croatia,Euro per inhabitant,Enterprise financing schemes,:
2007,Croatia,Euro per inhabitant,Household out-of-pocket payment,:
2007,Croatia,Euro per inhabitant,Out-of-pocket excluding cost-sharing,:
2007,Croatia,Euro per inhabitant,Cost sharing with third-party payers,:
2007,Croatia,Euro per inhabitant,Rest of the world financing schemes (non-resident),:
2007,Croatia,Euro per inhabitant,Compulsory schemes (non-resident),:
2007,Croatia,Euro per inhabitant,Voluntary schemes (non-resident),:
2007,Croatia,Euro per inhabitant,Financing schemes unknown,:
2007,Italy,Euro per inhabitant,All financing schemes,:
2007,Italy,Euro per inhabitant,Government schemes and compulsory contributory health care financing schemes,:
2007,Italy,Euro per inhabitant,Government schemes,:
2007,Italy,Euro per inhabitant,Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA),:
2007,Italy,Euro per inhabitant,Social health insurance schemes,:
2007,Italy,Euro per inhabitant,Compulsory private insurance scheme,:
2007,Italy,Euro per inhabitant,Compulsory medical savings accounts (CMSA),:
2007,Italy,Euro per inhabitant,Voluntary health care payment schemes,:
2007,Italy,Euro per inhabitant,Voluntary health insurance schemes,:
2007,Italy,Euro per inhabitant,NPISH financing schemes,:
2007,Italy,Euro per inhabitant,Enterprise financing schemes,:
2007,Italy,Euro per inhabitant,Household out-of-pocket payment,:
2007,Italy,Euro per inhabitant,Out-of-pocket excluding cost-sharing,:
2007,Italy,Euro per inhabitant,Cost sharing with third-party payers,:
2007,Italy,Euro per inhabitant,Rest of the world financing schemes (non-resident),:
2007,Italy,Euro per inhabitant,Compulsory schemes (non-resident),:
2007,Italy,Euro per inhabitant,Voluntary schemes (non-resident),:
2007,Italy,Euro per inhabitant,Financing schemes unknown,:
2007,Cyprus,Euro per inhabitant,All financing schemes,:
2007,Cyprus,Euro per inhabitant,Government schemes and compulsory contributory health care financing schemes,:
2007,Cyprus,Euro per inhabitant,Government schemes,:
2007,Cyprus,Euro per inhabitant,Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA),:
2007,Cyprus,Euro per inhabitant,Social health insurance schemes,:
2007,Cyprus,Euro per inhabitant,Compulsory private insurance scheme,:
2007,Cyprus,Euro per inhabitant,Compulsory medical savings accounts (CMSA),:
2007,Cyprus,Euro per inhabitant,Voluntary health care payment schemes,:
2007,Cyprus,Euro per inhabitant,Voluntary health insurance schemes,:
2007,Cyprus,Euro per inhabitant,NPISH financing schemes,:
2007,Cyprus,Euro per inhabitant,Enterprise financing schemes,:
2007,Cyprus,Euro per inhabitant,Household out-of-pocket payment,:
2007,Cyprus,Euro per inhabitant,Out-of-pocket excluding cost-sharing,:
2007,Cyprus,Euro per inhabitant,Cost sharing with third-party payers,:
2007,Cyprus,Euro per inhabitant,Rest of the world financing schemes (non-resident),:
2007,Cyprus,Euro per inhabitant,Compulsory schemes (non-resident),:
2007,Cyprus,Euro per inhabitant,Voluntary schemes (non-resident),:
2007,Cyprus,Euro per inhabitant,Financing schemes unknown,:
2007,Latvia,Euro per inhabitant,All financing schemes,:
2007,Latvia,Euro per inhabitant,Government schemes and compulsory contributory health care financing schemes,:
2007,Latvia,Euro per inhabitant,Government schemes,:
2007,Latvia,Euro per inhabitant,Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA),:
2007,Latvia,Euro per inhabitant,Social health insurance schemes,:
2007,Latvia,Euro per inhabitant,Compulsory private insurance scheme,:
2007,Latvia,Euro per inhabitant,Compulsory medical savings accounts (CMSA),:
2007,Latvia,Euro per inhabitant,Voluntary health care payment schemes,:
2007,Latvia,Euro per inhabitant,Voluntary health insurance schemes,:
2007,Latvia,Euro per inhabitant,NPISH financing schemes,:
2007,Latvia,Euro per inhabitant,Enterprise financing schemes,:
2007,Latvia,Euro per inhabitant,Household out-of-pocket payment,:
2007,Latvia,Euro per inhabitant,Out-of-pocket excluding cost-sharing,:
2007,Latvia,Euro per inhabitant,Cost sharing with third-party payers,:
2007,Latvia,Euro per inhabitant,Rest of the world financing schemes (non-resident),:
2007,Latvia,Euro per inhabitant,Compulsory schemes (non-resident),:
2007,Latvia,Euro per inhabitant,Voluntary schemes (non-resident),:
2007,Latvia,Euro per inhabitant,Financing schemes unknown,:
2007,Lithuania,Euro per inhabitant,All financing schemes,:
2007,Lithuania,Euro per inhabitant,Government schemes and compulsory contributory health care financing schemes,:
2007,Lithuania,Euro per inhabitant,Government schemes,:
2007,Lithuania,Euro per inhabitant,Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA),:
2007,Lithuania,Euro per inhabitant,Social health insurance schemes,:
2007,Lithuania,Euro per inhabitant,Compulsory private insurance scheme,:
2007,Lithuania,Euro per inhabitant,Compulsory medical savings accounts (CMSA),:
2007,Lithuania,Euro per inhabitant,Voluntary health care payment schemes,:
2007,Lithuania,Euro per inhabitant,Voluntary health insurance schemes,:
2007,Lithuania,Euro per inhabitant,NPISH financing schemes,:
2007,Lithuania,Euro per inhabitant,Enterprise financing schemes,:
2007,Lithuania,Euro per inhabitant,Household out-of-pocket payment,:
2007,Lithuania,Euro per inhabitant,Out-of-pocket excluding cost-sharing,:
2007,Lithuania,Euro per inhabitant,Cost sharing with third-party payers,:
2007,Lithuania,Euro per inhabitant,Rest of the world financing schemes (non-resident),:
2007,Lithuania,Euro per inhabitant,Compulsory schemes (non-resident),:
2007,Lithuania,Euro per inhabitant,Voluntary schemes (non-resident),:
2007,Lithuania,Euro per inhabitant,Financing schemes unknown,:
2007,Luxembourg,Euro per inhabitant,All financing schemes,:
2007,Luxembourg,Euro per inhabitant,Government schemes and compulsory contributory health care financing schemes,:
2007,Luxembourg,Euro per inhabitant,Government schemes,:
2007,Luxembourg,Euro per inhabitant,Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA),:
2007,Luxembourg,Euro per inhabitant,Social health insurance schemes,:
2007,Luxembourg,Euro per inhabitant,Compulsory private insurance scheme,:
2007,Luxembourg,Euro per inhabitant,Compulsory medical savings accounts (CMSA),:
2007,Luxembourg,Euro per inhabitant,Voluntary health care payment schemes,:
2007,Luxembourg,Euro per inhabitant,Voluntary health insurance schemes,:
2007,Luxembourg,Euro per inhabitant,NPISH financing schemes,:
2007,Luxembourg,Euro per inhabitant,Enterprise financing schemes,:
2007,Luxembourg,Euro per inhabitant,Household out-of-pocket payment,:
2007,Luxembourg,Euro per inhabitant,Out-of-pocket excluding cost-sharing,:
2007,Luxembourg,Euro per inhabitant,Cost sharing with third-party payers,:
2007,Luxembourg,Euro per inhabitant,Rest of the world financing schemes (non-resident),:
2007,Luxembourg,Euro per inhabitant,Compulsory schemes (non-resident),:
2007,Luxembourg,Euro per inhabitant,Voluntary schemes (non-resident),:
2007,Luxembourg,Euro per inhabitant,Financing schemes unknown,:
2007,Hungary,Euro per inhabitant,All financing schemes,733.69
2007,Hungary,Euro per inhabitant,Government schemes and compulsory contributory health care financing schemes,505.54
2007,Hungary,Euro per inhabitant,Government schemes,72
2007,Hungary,Euro per inhabitant,Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA),433.54
2007,Hungary,Euro per inhabitant,Social health insurance schemes,:
2007,Hungary,Euro per inhabitant,Compulsory private insurance scheme,:
2007,Hungary,Euro per inhabitant,Compulsory medical savings accounts (CMSA),:
2007,Hungary,Euro per inhabitant,Voluntary health care payment schemes,35.48
2007,Hungary,Euro per inhabitant,Voluntary health insurance schemes,15.48
2007,Hungary,Euro per inhabitant,NPISH financing schemes,12.93
2007,Hungary,Euro per inhabitant,Enterprise financing schemes,7.07
2007,Hungary,Euro per inhabitant,Household out-of-pocket payment,192.68
2007,Hungary,Euro per inhabitant,Out-of-pocket excluding cost-sharing,192.68
2007,Hungary,Euro per inhabitant,Cost sharing with third-party payers,0
2007,Hungary,Euro per inhabitant,Rest of the world financing schemes (non-resident),0
2007,Hungary,Euro per inhabitant,Compulsory schemes (non-resident),0
2007,Hungary,Euro per inhabitant,Voluntary schemes (non-resident),0
2007,Hungary,Euro per inhabitant,Financing schemes unknown,0
2007,Netherlands,Euro per inhabitant,All financing schemes,3458.06
2007,Netherlands,Euro per inhabitant,Government schemes and compulsory contributory health care financing schemes,2870.38
2007,Netherlands,Euro per inhabitant,Government schemes,175.5
2007,Netherlands,Euro per inhabitant,Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA),2694.88
2007,Netherlands,Euro per inhabitant,Social health insurance schemes,1022.57
2007,Netherlands,Euro per inhabitant,Compulsory private insurance scheme,1672.31
2007,Netherlands,Euro per inhabitant,Compulsory medical savings accounts (CMSA),0
2007,Netherlands,Euro per inhabitant,Voluntary health care payment schemes,285.5
2007,Netherlands,Euro per inhabitant,Voluntary health insurance schemes,223.41
2007,Netherlands,Euro per inhabitant,NPISH financing schemes,11.62
2007,Netherlands,Euro per inhabitant,Enterprise financing schemes,50.48
2007,Netherlands,Euro per inhabitant,Household out-of-pocket payment,302.17
2007,Netherlands,Euro per inhabitant,Out-of-pocket excluding cost-sharing,:
2007,Netherlands,Euro per inhabitant,Cost sharing with third-party payers,:
2007,Netherlands,Euro per inhabitant,Rest of the world financing schemes (non-resident),:
2007,Netherlands,Euro per inhabitant,Compulsory schemes (non-resident),:
2007,Netherlands,Euro per inhabitant,Voluntary schemes (non-resident),:
2007,Netherlands,Euro per inhabitant,Financing schemes unknown,:
2007,Austria,Euro per inhabitant,All financing schemes,3263.11
2007,Austria,Euro per inhabitant,Government schemes and compulsory contributory health care financing schemes,2426.6
2007,Austria,Euro per inhabitant,Government schemes,948.44
2007,Austria,Euro per inhabitant,Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA),1478.16
2007,Austria,Euro per inhabitant,Social health insurance schemes,1478.16
2007,Austria,Euro per inhabitant,Compulsory private insurance scheme,:
2007,Austria,Euro per inhabitant,Compulsory medical savings accounts (CMSA),:
2007,Austria,Euro per inhabitant,Voluntary health care payment schemes,222.84
2007,Austria,Euro per inhabitant,Voluntary health insurance schemes,163.08
2007,Austria,Euro per inhabitant,NPISH financing schemes,54.32
2007,Austria,Euro per inhabitant,Enterprise financing schemes,5.44
2007,Austria,Euro per inhabitant,Household out-of-pocket payment,613.66
2007,Austria,Euro per inhabitant,Out-of-pocket excluding cost-sharing,545.87
2007,Austria,Euro per inhabitant,Cost sharing with third-party payers,67.79
2007,Austria,Euro per inhabitant,Rest of the world financing schemes (non-resident),:
2007,Austria,Euro per inhabitant,Compulsory schemes (non-resident),:
2007,Austria,Euro per inhabitant,Voluntary schemes (non-resident),:
2007,Austria,Euro per inhabitant,Financing schemes unknown,:
2007,Poland,Euro per inhabitant,All financing schemes,:
2007,Poland,Euro per inhabitant,Government schemes and compulsory contributory health care financing schemes,:
2007,Poland,Euro per inhabitant,Government schemes,:
2007,Poland,Euro per inhabitant,Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA),:
2007,Poland,Euro per inhabitant,Social health insurance schemes,:
2007,Poland,Euro per inhabitant,Compulsory private insurance scheme,:
2007,Poland,Euro per inhabitant,Compulsory medical savings accounts (CMSA),:
2007,Poland,Euro per inhabitant,Voluntary health care payment schemes,:
2007,Poland,Euro per inhabitant,Voluntary health insurance schemes,:
2007,Poland,Euro per inhabitant,NPISH financing schemes,:
2007,Poland,Euro per inhabitant,Enterprise financing schemes,:
2007,Poland,Euro per inhabitant,Household out-of-pocket payment,:
2007,Poland,Euro per inhabitant,Out-of-pocket excluding cost-sharing,:
2007,Poland,Euro per inhabitant,Cost sharing with third-party payers,:
2007,Poland,Euro per inhabitant,Rest of the world financing schemes (non-resident),:
2007,Poland,Euro per inhabitant,Compulsory schemes (non-resident),:
2007,Poland,Euro per inhabitant,Voluntary schemes (non-resident),:
2007,Poland,Euro per inhabitant,Financing schemes unknown,:
2007,Portugal,Euro per inhabitant,All financing schemes,1508.83
2007,Portugal,Euro per inhabitant,Government schemes and compulsory contributory health care financing schemes,1036.75
2007,Portugal,Euro per inhabitant,Government schemes,1023.9
2007,Portugal,Euro per inhabitant,Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA),12.84
2007,Portugal,Euro per inhabitant,Social health insurance schemes,12.84
2007,Portugal,Euro per inhabitant,Compulsory private insurance scheme,:
2007,Portugal,Euro per inhabitant,Compulsory medical savings accounts (CMSA),:
2007,Portugal,Euro per inhabitant,Voluntary health care payment schemes,84.76
2007,Portugal,Euro per inhabitant,Voluntary health insurance schemes,72.23
2007,Portugal,Euro per inhabitant,NPISH financing schemes,0.69
2007,Portugal,Euro per inhabitant,Enterprise financing schemes,11.84
2007,Portugal,Euro per inhabitant,Household out-of-pocket payment,387.32
2007,Portugal,Euro per inhabitant,Out-of-pocket excluding cost-sharing,:
2007,Portugal,Euro per inhabitant,Cost sharing with third-party payers,:
2007,Portugal,Euro per inhabitant,Rest of the world financing schemes (non-resident),:
2007,Portugal,Euro per inhabitant,Compulsory schemes (non-resident),:
2007,Portugal,Euro per inhabitant,Voluntary schemes (non-resident),:
2007,Portugal,Euro per inhabitant,Financing schemes unknown,:
2007,Romania,Euro per inhabitant,All financing schemes,:
2007,Romania,Euro per inhabitant,Government schemes and compulsory contributory health care financing schemes,:
2007,Romania,Euro per inhabitant,Government schemes,:
2007,Romania,Euro per inhabitant,Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA),:
2007,Romania,Euro per inhabitant,Social health insurance schemes,:
2007,Romania,Euro per inhabitant,Compulsory private insurance scheme,:
2007,Romania,Euro per inhabitant,Compulsory medical savings accounts (CMSA),:
2007,Romania,Euro per inhabitant,Voluntary health care payment schemes,:
2007,Romania,Euro per inhabitant,Voluntary health insurance schemes,:
2007,Romania,Euro per inhabitant,NPISH financing schemes,:
2007,Romania,Euro per inhabitant,Enterprise financing schemes,:
2007,Romania,Euro per inhabitant,Household out-of-pocket payment,:
2007,Romania,Euro per inhabitant,Out-of-pocket excluding cost-sharing,:
2007,Romania,Euro per inhabitant,Cost sharing with third-party payers,:
2007,Romania,Euro per inhabitant,Rest of the world financing schemes (non-resident),:
2007,Romania,Euro per inhabitant,Compulsory schemes (non-resident),:
2007,Romania,Euro per inhabitant,Voluntary schemes (non-resident),:
2007,Romania,Euro per inhabitant,Financing schemes unknown,:
2007,Slovenia,Euro per inhabitant,All financing schemes,:
