TIME,GEO,UNIT,ICHA11_HC,Value
2007,Bulgaria,Euro per inhabitant,Early disease detection programmes,:
2007,Bulgaria,Euro per inhabitant,Healthy condition monitoring programmes,:
2007,Bulgaria,Euro per inhabitant,Epidemiological surveillance and risk and disease control programmes,:
2007,Bulgaria,Euro per inhabitant,Preparing for disaster and emergency response programmes,:
2007,Bulgaria,Euro per inhabitant,Governance and health system and financing administration,:
2007,Bulgaria,Euro per inhabitant,Governance and health system administration,:
2007,Bulgaria,Euro per inhabitant,Administration of health financing,:
2007,Bulgaria,Euro per inhabitant,Other health care services unknown,:
2007,Bulgaria,Euro per inhabitant,Long-term care (social),:
2007,Czech Republic,Euro per inhabitant,Current health care expenditure (CHE),:
2007,Czech Republic,Euro per inhabitant,Curative care and rehabilitative care,:
2007,Czech Republic,Euro per inhabitant,Curative care,:
2007,Czech Republic,Euro per inhabitant,Inpatient curative and rehabilitative care,:
2007,Czech Republic,Euro per inhabitant,Inpatient curative care,:
2007,Czech Republic,Euro per inhabitant,Day curative and rehabilitative care,:
2007,Czech Republic,Euro per inhabitant,Day curative care,:
2007,Czech Republic,Euro per inhabitant,Outpatient curative and rehabilitative care,:
2007,Czech Republic,Euro per inhabitant,Outpatient curative care,:
2007,Czech Republic,Euro per inhabitant,General outpatient curative care,:
2007,Czech Republic,Euro per inhabitant,Dental outpatient curative care,:
2007,Czech Republic,Euro per inhabitant,Specialised outpatient curative care,:
2007,Czech Republic,Euro per inhabitant,All other outpatient curative care n.e.c.,:
2007,Czech Republic,Euro per inhabitant,Home-based curative and rehabilitative care,:
2007,Czech Republic,Euro per inhabitant,Home-based curative care,:
2007,Czech Republic,Euro per inhabitant,Rehabilitative care,:
2007,Czech Republic,Euro per inhabitant,Inpatient rehabilitative care,:
2007,Czech Republic,Euro per inhabitant,Day rehabilitative care,:
2007,Czech Republic,Euro per inhabitant,Outpatient rehabilitative care,:
2007,Czech Republic,Euro per inhabitant,Home-based rehabilitative care,:
2007,Czech Republic,Euro per inhabitant,Long-term care (health),:
2007,Czech Republic,Euro per inhabitant,Inpatient long-term care (health),:
2007,Czech Republic,Euro per inhabitant,Day long-term care (health),:
2007,Czech Republic,Euro per inhabitant,Outpatient long-term care (health),:
2007,Czech Republic,Euro per inhabitant,Home-based long-term care (health),:
2007,Czech Republic,Euro per inhabitant,Ancillary services (non-specified by function),:
2007,Czech Republic,Euro per inhabitant,Laboratory services,:
2007,Czech Republic,Euro per inhabitant,Imaging services,:
2007,Czech Republic,Euro per inhabitant,Patient transportation,:
2007,Czech Republic,Euro per inhabitant,Medical goods (non-specified by function),:
2007,Czech Republic,Euro per inhabitant,Pharmaceuticals and other medical non-durable goods,:
2007,Czech Republic,Euro per inhabitant,Prescribed medicines,:
2007,Czech Republic,Euro per inhabitant,Over-the-counter medicines,:
2007,Czech Republic,Euro per inhabitant,Other medical non-durable goods,:
2007,Czech Republic,Euro per inhabitant,Therapeutic appliances and other medical durable goods,:
2007,Czech Republic,Euro per inhabitant,Preventive care,:
2007,Czech Republic,Euro per inhabitant,"Information, education and counseling programmes",:
2007,Czech Republic,Euro per inhabitant,Immunisation programmes,:
2007,Czech Republic,Euro per inhabitant,Early disease detection programmes,:
2007,Czech Republic,Euro per inhabitant,Healthy condition monitoring programmes,:
2007,Czech Republic,Euro per inhabitant,Epidemiological surveillance and risk and disease control programmes,:
2007,Czech Republic,Euro per inhabitant,Preparing for disaster and emergency response programmes,:
2007,Czech Republic,Euro per inhabitant,Governance and health system and financing administration,:
2007,Czech Republic,Euro per inhabitant,Governance and health system administration,:
2007,Czech Republic,Euro per inhabitant,Administration of health financing,:
2007,Czech Republic,Euro per inhabitant,Other health care services unknown,:
2007,Czech Republic,Euro per inhabitant,Long-term care (social),:
2007,Denmark,Euro per inhabitant,Current health care expenditure (CHE),:
2007,Denmark,Euro per inhabitant,Curative care and rehabilitative care,:
2007,Denmark,Euro per inhabitant,Curative care,:
2007,Denmark,Euro per inhabitant,Inpatient curative and rehabilitative care,:
2007,Denmark,Euro per inhabitant,Inpatient curative care,:
2007,Denmark,Euro per inhabitant,Day curative and rehabilitative care,:
2007,Denmark,Euro per inhabitant,Day curative care,:
2007,Denmark,Euro per inhabitant,Outpatient curative and rehabilitative care,:
2007,Denmark,Euro per inhabitant,Outpatient curative care,:
2007,Denmark,Euro per inhabitant,General outpatient curative care,:
2007,Denmark,Euro per inhabitant,Dental outpatient curative care,:
2007,Denmark,Euro per inhabitant,Specialised outpatient curative care,:
2007,Denmark,Euro per inhabitant,All other outpatient curative care n.e.c.,:
2007,Denmark,Euro per inhabitant,Home-based curative and rehabilitative care,:
2007,Denmark,Euro per inhabitant,Home-based curative care,:
2007,Denmark,Euro per inhabitant,Rehabilitative care,:
2007,Denmark,Euro per inhabitant,Inpatient rehabilitative care,:
2007,Denmark,Euro per inhabitant,Day rehabilitative care,:
2007,Denmark,Euro per inhabitant,Outpatient rehabilitative care,:
2007,Denmark,Euro per inhabitant,Home-based rehabilitative care,:
2007,Denmark,Euro per inhabitant,Long-term care (health),:
2007,Denmark,Euro per inhabitant,Inpatient long-term care (health),:
2007,Denmark,Euro per inhabitant,Day long-term care (health),:
2007,Denmark,Euro per inhabitant,Outpatient long-term care (health),:
2007,Denmark,Euro per inhabitant,Home-based long-term care (health),:
2007,Denmark,Euro per inhabitant,Ancillary services (non-specified by function),:
2007,Denmark,Euro per inhabitant,Laboratory services,:
2007,Denmark,Euro per inhabitant,Imaging services,:
2007,Denmark,Euro per inhabitant,Patient transportation,:
2007,Denmark,Euro per inhabitant,Medical goods (non-specified by function),:
2007,Denmark,Euro per inhabitant,Pharmaceuticals and other medical non-durable goods,:
2007,Denmark,Euro per inhabitant,Prescribed medicines,:
2007,Denmark,Euro per inhabitant,Over-the-counter medicines,:
2007,Denmark,Euro per inhabitant,Other medical non-durable goods,:
2007,Denmark,Euro per inhabitant,Therapeutic appliances and other medical durable goods,:
2007,Denmark,Euro per inhabitant,Preventive care,:
2007,Denmark,Euro per inhabitant,"Information, education and counseling programmes",:
2007,Denmark,Euro per inhabitant,Immunisation programmes,:
2007,Denmark,Euro per inhabitant,Early disease detection programmes,:
2007,Denmark,Euro per inhabitant,Healthy condition monitoring programmes,:
2007,Denmark,Euro per inhabitant,Epidemiological surveillance and risk and disease control programmes,:
2007,Denmark,Euro per inhabitant,Preparing for disaster and emergency response programmes,:
2007,Denmark,Euro per inhabitant,Governance and health system and financing administration,:
2007,Denmark,Euro per inhabitant,Governance and health system administration,:
2007,Denmark,Euro per inhabitant,Administration of health financing,:
2007,Denmark,Euro per inhabitant,Other health care services unknown,:
2007,Denmark,Euro per inhabitant,Long-term care (social),:
2007,Germany (until 1990 former territory of the FRG),Euro per inhabitant,Current health care expenditure (CHE),3050.27
2007,Germany (until 1990 former territory of the FRG),Euro per inhabitant,Curative care and rehabilitative care,1570.65
2007,Germany (until 1990 former territory of the FRG),Euro per inhabitant,Curative care,1474.55
2007,Germany (until 1990 former territory of the FRG),Euro per inhabitant,Inpatient curative and rehabilitative care,831.17
2007,Germany (until 1990 former territory of the FRG),Euro per inhabitant,Inpatient curative care,743.38
2007,Germany (until 1990 former territory of the FRG),Euro per inhabitant,Day curative and rehabilitative care,30.33
2007,Germany (until 1990 former territory of the FRG),Euro per inhabitant,Day curative care,30.33
2007,Germany (until 1990 former territory of the FRG),Euro per inhabitant,Outpatient curative and rehabilitative care,687.9
2007,Germany (until 1990 former territory of the FRG),Euro per inhabitant,Outpatient curative care,679.59
2007,Germany (until 1990 former territory of the FRG),Euro per inhabitant,General outpatient curative care,172.67
2007,Germany (until 1990 former territory of the FRG),Euro per inhabitant,Dental outpatient curative care,233.85
2007,Germany (until 1990 former territory of the FRG),Euro per inhabitant,Specialised outpatient curative care,177.53
2007,Germany (until 1990 former territory of the FRG),Euro per inhabitant,All other outpatient curative care n.e.c.,95.52
2007,Germany (until 1990 former territory of the FRG),Euro per inhabitant,Home-based curative and rehabilitative care,21.27
2007,Germany (until 1990 former territory of the FRG),Euro per inhabitant,Home-based curative care,21.27
2007,Germany (until 1990 former territory of the FRG),Euro per inhabitant,Rehabilitative care,96.1
2007,Germany (until 1990 former territory of the FRG),Euro per inhabitant,Inpatient rehabilitative care,87.79
2007,Germany (until 1990 former territory of the FRG),Euro per inhabitant,Day rehabilitative care,:
2007,Germany (until 1990 former territory of the FRG),Euro per inhabitant,Outpatient rehabilitative care,8.33
2007,Germany (until 1990 former territory of the FRG),Euro per inhabitant,Home-based rehabilitative care,:
2007,Germany (until 1990 former territory of the FRG),Euro per inhabitant,Long-term care (health),452.18
2007,Germany (until 1990 former territory of the FRG),Euro per inhabitant,Inpatient long-term care (health),275.52
2007,Germany (until 1990 former territory of the FRG),Euro per inhabitant,Day long-term care (health),1.35
2007,Germany (until 1990 former territory of the FRG),Euro per inhabitant,Outpatient long-term care (health),:
2007,Germany (until 1990 former territory of the FRG),Euro per inhabitant,Home-based long-term care (health),175.31
2007,Germany (until 1990 former territory of the FRG),Euro per inhabitant,Ancillary services (non-specified by function),137.29
2007,Germany (until 1990 former territory of the FRG),Euro per inhabitant,Laboratory services,42.39
2007,Germany (until 1990 former territory of the FRG),Euro per inhabitant,Imaging services,50.15
2007,Germany (until 1990 former territory of the FRG),Euro per inhabitant,Patient transportation,44.74
2007,Germany (until 1990 former territory of the FRG),Euro per inhabitant,Medical goods (non-specified by function),627.05
2007,Germany (until 1990 former territory of the FRG),Euro per inhabitant,Pharmaceuticals and other medical non-durable goods,467.32
2007,Germany (until 1990 former territory of the FRG),Euro per inhabitant,Prescribed medicines,410.64
2007,Germany (until 1990 former territory of the FRG),Euro per inhabitant,Over-the-counter medicines,56.65
2007,Germany (until 1990 former territory of the FRG),Euro per inhabitant,Other medical non-durable goods,0.04
2007,Germany (until 1990 former territory of the FRG),Euro per inhabitant,Therapeutic appliances and other medical durable goods,159.73
2007,Germany (until 1990 former territory of the FRG),Euro per inhabitant,Preventive care,103.2
2007,Germany (until 1990 former territory of the FRG),Euro per inhabitant,"Information, education and counseling programmes",4.87
2007,Germany (until 1990 former territory of the FRG),Euro per inhabitant,Immunisation programmes,20.29
2007,Germany (until 1990 former territory of the FRG),Euro per inhabitant,Early disease detection programmes,12.82
2007,Germany (until 1990 former territory of the FRG),Euro per inhabitant,Healthy condition monitoring programmes,42.09
2007,Germany (until 1990 former territory of the FRG),Euro per inhabitant,Epidemiological surveillance and risk and disease control programmes,23.13
2007,Germany (until 1990 former territory of the FRG),Euro per inhabitant,Preparing for disaster and emergency response programmes,:
2007,Germany (until 1990 former territory of the FRG),Euro per inhabitant,Governance and health system and financing administration,159.92
2007,Germany (until 1990 former territory of the FRG),Euro per inhabitant,Governance and health system administration,:
2007,Germany (until 1990 former territory of the FRG),Euro per inhabitant,Administration of health financing,159.92
2007,Germany (until 1990 former territory of the FRG),Euro per inhabitant,Other health care services unknown,:
2007,Germany (until 1990 former territory of the FRG),Euro per inhabitant,Long-term care (social),32.09
2007,Estonia,Euro per inhabitant,Current health care expenditure (CHE),:
2007,Estonia,Euro per inhabitant,Curative care and rehabilitative care,:
2007,Estonia,Euro per inhabitant,Curative care,:
2007,Estonia,Euro per inhabitant,Inpatient curative and rehabilitative care,:
2007,Estonia,Euro per inhabitant,Inpatient curative care,:
2007,Estonia,Euro per inhabitant,Day curative and rehabilitative care,:
2007,Estonia,Euro per inhabitant,Day curative care,:
2007,Estonia,Euro per inhabitant,Outpatient curative and rehabilitative care,:
2007,Estonia,Euro per inhabitant,Outpatient curative care,:
2007,Estonia,Euro per inhabitant,General outpatient curative care,:
2007,Estonia,Euro per inhabitant,Dental outpatient curative care,:
2007,Estonia,Euro per inhabitant,Specialised outpatient curative care,:
2007,Estonia,Euro per inhabitant,All other outpatient curative care n.e.c.,:
2007,Estonia,Euro per inhabitant,Home-based curative and rehabilitative care,:
2007,Estonia,Euro per inhabitant,Home-based curative care,:
2007,Estonia,Euro per inhabitant,Rehabilitative care,:
2007,Estonia,Euro per inhabitant,Inpatient rehabilitative care,:
2007,Estonia,Euro per inhabitant,Day rehabilitative care,:
2007,Estonia,Euro per inhabitant,Outpatient rehabilitative care,:
2007,Estonia,Euro per inhabitant,Home-based rehabilitative care,:
2007,Estonia,Euro per inhabitant,Long-term care (health),:
2007,Estonia,Euro per inhabitant,Inpatient long-term care (health),:
2007,Estonia,Euro per inhabitant,Day long-term care (health),:
2007,Estonia,Euro per inhabitant,Outpatient long-term care (health),:
2007,Estonia,Euro per inhabitant,Home-based long-term care (health),:
2007,Estonia,Euro per inhabitant,Ancillary services (non-specified by function),:
2007,Estonia,Euro per inhabitant,Laboratory services,:
2007,Estonia,Euro per inhabitant,Imaging services,:
2007,Estonia,Euro per inhabitant,Patient transportation,:
2007,Estonia,Euro per inhabitant,Medical goods (non-specified by function),:
2007,Estonia,Euro per inhabitant,Pharmaceuticals and other medical non-durable goods,:
2007,Estonia,Euro per inhabitant,Prescribed medicines,:
2007,Estonia,Euro per inhabitant,Over-the-counter medicines,:
2007,Estonia,Euro per inhabitant,Other medical non-durable goods,:
2007,Estonia,Euro per inhabitant,Therapeutic appliances and other medical durable goods,:
2007,Estonia,Euro per inhabitant,Preventive care,:
2007,Estonia,Euro per inhabitant,"Information, education and counseling programmes",:
2007,Estonia,Euro per inhabitant,Immunisation programmes,:
2007,Estonia,Euro per inhabitant,Early disease detection programmes,:
2007,Estonia,Euro per inhabitant,Healthy condition monitoring programmes,:
2007,Estonia,Euro per inhabitant,Epidemiological surveillance and risk and disease control programmes,:
2007,Estonia,Euro per inhabitant,Preparing for disaster and emergency response programmes,:
2007,Estonia,Euro per inhabitant,Governance and health system and financing administration,:
2007,Estonia,Euro per inhabitant,Governance and health system administration,:
2007,Estonia,Euro per inhabitant,Administration of health financing,:
2007,Estonia,Euro per inhabitant,Other health care services unknown,:
2007,Estonia,Euro per inhabitant,Long-term care (social),:
2007,Ireland,Euro per inhabitant,Current health care expenditure (CHE),:
2007,Ireland,Euro per inhabitant,Curative care and rehabilitative care,:
2007,Ireland,Euro per inhabitant,Curative care,:
2007,Ireland,Euro per inhabitant,Inpatient curative and rehabilitative care,:
2007,Ireland,Euro per inhabitant,Inpatient curative care,:
2007,Ireland,Euro per inhabitant,Day curative and rehabilitative care,:
2007,Ireland,Euro per inhabitant,Day curative care,:
2007,Ireland,Euro per inhabitant,Outpatient curative and rehabilitative care,:
2007,Ireland,Euro per inhabitant,Outpatient curative care,:
2007,Ireland,Euro per inhabitant,General outpatient curative care,:
2007,Ireland,Euro per inhabitant,Dental outpatient curative care,:
2007,Ireland,Euro per inhabitant,Specialised outpatient curative care,:
2007,Ireland,Euro per inhabitant,All other outpatient curative care n.e.c.,:
2007,Ireland,Euro per inhabitant,Home-based curative and rehabilitative care,:
2007,Ireland,Euro per inhabitant,Home-based curative care,:
2007,Ireland,Euro per inhabitant,Rehabilitative care,:
2007,Ireland,Euro per inhabitant,Inpatient rehabilitative care,:
2007,Ireland,Euro per inhabitant,Day rehabilitative care,:
2007,Ireland,Euro per inhabitant,Outpatient rehabilitative care,:
2007,Ireland,Euro per inhabitant,Home-based rehabilitative care,:
2007,Ireland,Euro per inhabitant,Long-term care (health),:
2007,Ireland,Euro per inhabitant,Inpatient long-term care (health),:
2007,Ireland,Euro per inhabitant,Day long-term care (health),:
2007,Ireland,Euro per inhabitant,Outpatient long-term care (health),:
2007,Ireland,Euro per inhabitant,Home-based long-term care (health),:
2007,Ireland,Euro per inhabitant,Ancillary services (non-specified by function),:
2007,Ireland,Euro per inhabitant,Laboratory services,:
2007,Ireland,Euro per inhabitant,Imaging services,:
2007,Ireland,Euro per inhabitant,Patient transportation,:
2007,Ireland,Euro per inhabitant,Medical goods (non-specified by function),:
2007,Ireland,Euro per inhabitant,Pharmaceuticals and other medical non-durable goods,:
2007,Ireland,Euro per inhabitant,Prescribed medicines,:
2007,Ireland,Euro per inhabitant,Over-the-counter medicines,:
2007,Ireland,Euro per inhabitant,Other medical non-durable goods,:
2007,Ireland,Euro per inhabitant,Therapeutic appliances and other medical durable goods,:
2007,Ireland,Euro per inhabitant,Preventive care,:
2007,Ireland,Euro per inhabitant,"Information, education and counseling programmes",:
2007,Ireland,Euro per inhabitant,Immunisation programmes,:
2007,Ireland,Euro per inhabitant,Early disease detection programmes,:
2007,Ireland,Euro per inhabitant,Healthy condition monitoring programmes,:
2007,Ireland,Euro per inhabitant,Epidemiological surveillance and risk and disease control programmes,:
2007,Ireland,Euro per inhabitant,Preparing for disaster and emergency response programmes,:
2007,Ireland,Euro per inhabitant,Governance and health system and financing administration,:
2007,Ireland,Euro per inhabitant,Governance and health system administration,:
2007,Ireland,Euro per inhabitant,Administration of health financing,:
2007,Ireland,Euro per inhabitant,Other health care services unknown,:
2007,Ireland,Euro per inhabitant,Long-term care (social),:
2007,Greece,Euro per inhabitant,Current health care expenditure (CHE),:
2007,Greece,Euro per inhabitant,Curative care and rehabilitative care,:
2007,Greece,Euro per inhabitant,Curative care,:
2007,Greece,Euro per inhabitant,Inpatient curative and rehabilitative care,:
2007,Greece,Euro per inhabitant,Inpatient curative care,:
2007,Greece,Euro per inhabitant,Day curative and rehabilitative care,:
2007,Greece,Euro per inhabitant,Day curative care,:
2007,Greece,Euro per inhabitant,Outpatient curative and rehabilitative care,:
2007,Greece,Euro per inhabitant,Outpatient curative care,:
2007,Greece,Euro per inhabitant,General outpatient curative care,:
2007,Greece,Euro per inhabitant,Dental outpatient curative care,:
2007,Greece,Euro per inhabitant,Specialised outpatient curative care,:
2007,Greece,Euro per inhabitant,All other outpatient curative care n.e.c.,:
2007,Greece,Euro per inhabitant,Home-based curative and rehabilitative care,:
2007,Greece,Euro per inhabitant,Home-based curative care,:
2007,Greece,Euro per inhabitant,Rehabilitative care,:
2007,Greece,Euro per inhabitant,Inpatient rehabilitative care,:
2007,Greece,Euro per inhabitant,Day rehabilitative care,:
2007,Greece,Euro per inhabitant,Outpatient rehabilitative care,:
2007,Greece,Euro per inhabitant,Home-based rehabilitative care,:
2007,Greece,Euro per inhabitant,Long-term care (health),:
2007,Greece,Euro per inhabitant,Inpatient long-term care (health),:
2007,Greece,Euro per inhabitant,Day long-term care (health),:
2007,Greece,Euro per inhabitant,Outpatient long-term care (health),:
2007,Greece,Euro per inhabitant,Home-based long-term care (health),:
2007,Greece,Euro per inhabitant,Ancillary services (non-specified by function),:
2007,Greece,Euro per inhabitant,Laboratory services,:
2007,Greece,Euro per inhabitant,Imaging services,:
2007,Greece,Euro per inhabitant,Patient transportation,:
2007,Greece,Euro per inhabitant,Medical goods (non-specified by function),:
2007,Greece,Euro per inhabitant,Pharmaceuticals and other medical non-durable goods,:
2007,Greece,Euro per inhabitant,Prescribed medicines,:
2007,Greece,Euro per inhabitant,Over-the-counter medicines,:
2007,Greece,Euro per inhabitant,Other medical non-durable goods,:
2007,Greece,Euro per inhabitant,Therapeutic appliances and other medical durable goods,:
2007,Greece,Euro per inhabitant,Preventive care,:
2007,Greece,Euro per inhabitant,"Information, education and counseling programmes",:
2007,Greece,Euro per inhabitant,Immunisation programmes,:
2007,Greece,Euro per inhabitant,Early disease detection programmes,:
2007,Greece,Euro per inhabitant,Healthy condition monitoring programmes,:
2007,Greece,Euro per inhabitant,Epidemiological surveillance and risk and disease control programmes,:
2007,Greece,Euro per inhabitant,Preparing for disaster and emergency response programmes,:
2007,Greece,Euro per inhabitant,Governance and health system and financing administration,:
2007,Greece,Euro per inhabitant,Governance and health system administration,:
2007,Greece,Euro per inhabitant,Administration of health financing,:
2007,Greece,Euro per inhabitant,Other health care services unknown,:
2007,Greece,Euro per inhabitant,Long-term care (social),:
2007,Spain,Euro per inhabitant,Current health care expenditure (CHE),1872.78
2007,Spain,Euro per inhabitant,Curative care and rehabilitative care,1083.62
2007,Spain,Euro per inhabitant,Curative care,1083.62
2007,Spain,Euro per inhabitant,Inpatient curative and rehabilitative care,423.15
2007,Spain,Euro per inhabitant,Inpatient curative care,423.15
2007,Spain,Euro per inhabitant,Day curative and rehabilitative care,37.02
2007,Spain,Euro per inhabitant,Day curative care,37.02
2007,Spain,Euro per inhabitant,Outpatient curative and rehabilitative care,607.89
2007,Spain,Euro per inhabitant,Outpatient curative care,607.89
2007,Spain,Euro per inhabitant,General outpatient curative care,191.55
2007,Spain,Euro per inhabitant,Dental outpatient curative care,131.91
2007,Spain,Euro per inhabitant,Specialised outpatient curative care,269.3
2007,Spain,Euro per inhabitant,All other outpatient curative care n.e.c.,15.12
2007,Spain,Euro per inhabitant,Home-based curative and rehabilitative care,15.56
2007,Spain,Euro per inhabitant,Home-based curative care,15.56
2007,Spain,Euro per inhabitant,Rehabilitative care,:
2007,Spain,Euro per inhabitant,Inpatient rehabilitative care,:
2007,Spain,Euro per inhabitant,Day rehabilitative care,:
2007,Spain,Euro per inhabitant,Outpatient rehabilitative care,:
2007,Spain,Euro per inhabitant,Home-based rehabilitative care,:
2007,Spain,Euro per inhabitant,Long-term care (health),157.44
2007,Spain,Euro per inhabitant,Inpatient long-term care (health),107.82
2007,Spain,Euro per inhabitant,Day long-term care (health),15.58
2007,Spain,Euro per inhabitant,Outpatient long-term care (health),:
2007,Spain,Euro per inhabitant,Home-based long-term care (health),34.04
2007,Spain,Euro per inhabitant,Ancillary services (non-specified by function),90.59
2007,Spain,Euro per inhabitant,Laboratory services,36.1
2007,Spain,Euro per inhabitant,Imaging services,33.22
2007,Spain,Euro per inhabitant,Patient transportation,21.28
2007,Spain,Euro per inhabitant,Medical goods (non-specified by function),427.72
2007,Spain,Euro per inhabitant,Pharmaceuticals and other medical non-durable goods,356.02
2007,Spain,Euro per inhabitant,Prescribed medicines,271.51
2007,Spain,Euro per inhabitant,Over-the-counter medicines,67.06
2007,Spain,Euro per inhabitant,Other medical non-durable goods,17.45
2007,Spain,Euro per inhabitant,Therapeutic appliances and other medical durable goods,71.7
2007,Spain,Euro per inhabitant,Preventive care,48
2007,Spain,Euro per inhabitant,"Information, education and counseling programmes",:
2007,Spain,Euro per inhabitant,Immunisation programmes,:
2007,Spain,Euro per inhabitant,Early disease detection programmes,:
