TIME,GEO,UNIT,ICHA11_HP,Value
2007,Czech Republic,Euro per inhabitant,Mental health and substance abuse facilities,:
2007,Czech Republic,Euro per inhabitant,Other residential long-term care facilities,:
2007,Czech Republic,Euro per inhabitant,Providers of ambulatory health care,:
2007,Czech Republic,Euro per inhabitant,Medical practices,:
2007,Czech Republic,Euro per inhabitant,Dental practice,:
2007,Czech Republic,Euro per inhabitant,Other health care practitioners,:
2007,Czech Republic,Euro per inhabitant,Ambulatory health care centres,:
2007,Czech Republic,Euro per inhabitant,Providers of home health care services,:
2007,Czech Republic,Euro per inhabitant,Providers of ancillary services,:
2007,Czech Republic,Euro per inhabitant,Providers of patient transportation and emergency rescue,:
2007,Czech Republic,Euro per inhabitant,Medical and diagnostic laboratories,:
2007,Czech Republic,Euro per inhabitant,Other providers of ancillary services,:
2007,Czech Republic,Euro per inhabitant,Retailers and other providers of medical goods,:
2007,Czech Republic,Euro per inhabitant,Pharmacies,:
2007,Czech Republic,Euro per inhabitant,Retail sellers and other suppliers of durable medical goods and medical appliances,:
2007,Czech Republic,Euro per inhabitant,All other miscellaneous sellers and other suppliers of pharmaceuticals and medical goods,:
2007,Czech Republic,Euro per inhabitant,Providers of preventive care,:
2007,Czech Republic,Euro per inhabitant,Providers of health care system administration and financing,:
2007,Czech Republic,Euro per inhabitant,Government health administration agencies,:
2007,Czech Republic,Euro per inhabitant,Social health insurance agencies,:
2007,Czech Republic,Euro per inhabitant,Private health insurance administration agencies,:
2007,Czech Republic,Euro per inhabitant,Other administration agencies,:
2007,Czech Republic,Euro per inhabitant,Rest of economy,:
2007,Czech Republic,Euro per inhabitant,Households as providers of home health care,:
2007,Czech Republic,Euro per inhabitant,All other industries as secondary providers of health care,:
2007,Czech Republic,Euro per inhabitant,Other industries n.e.c.,:
2007,Czech Republic,Euro per inhabitant,Rest of the world,:
2007,Czech Republic,Euro per inhabitant,Providers unknown,:
2007,Denmark,Euro per inhabitant,All providers of health care,:
2007,Denmark,Euro per inhabitant,Hospitals,:
2007,Denmark,Euro per inhabitant,General hospitals,:
2007,Denmark,Euro per inhabitant,Mental health hospitals,:
2007,Denmark,Euro per inhabitant,Specialised hospitals (other than mental health hospitals),:
2007,Denmark,Euro per inhabitant,Residential long-term care facilities,:
2007,Denmark,Euro per inhabitant,Long-term nursing care facilities,:
2007,Denmark,Euro per inhabitant,Mental health and substance abuse facilities,:
2007,Denmark,Euro per inhabitant,Other residential long-term care facilities,:
2007,Denmark,Euro per inhabitant,Providers of ambulatory health care,:
2007,Denmark,Euro per inhabitant,Medical practices,:
2007,Denmark,Euro per inhabitant,Dental practice,:
2007,Denmark,Euro per inhabitant,Other health care practitioners,:
2007,Denmark,Euro per inhabitant,Ambulatory health care centres,:
2007,Denmark,Euro per inhabitant,Providers of home health care services,:
2007,Denmark,Euro per inhabitant,Providers of ancillary services,:
2007,Denmark,Euro per inhabitant,Providers of patient transportation and emergency rescue,:
2007,Denmark,Euro per inhabitant,Medical and diagnostic laboratories,:
2007,Denmark,Euro per inhabitant,Other providers of ancillary services,:
2007,Denmark,Euro per inhabitant,Retailers and other providers of medical goods,:
2007,Denmark,Euro per inhabitant,Pharmacies,:
2007,Denmark,Euro per inhabitant,Retail sellers and other suppliers of durable medical goods and medical appliances,:
2007,Denmark,Euro per inhabitant,All other miscellaneous sellers and other suppliers of pharmaceuticals and medical goods,:
2007,Denmark,Euro per inhabitant,Providers of preventive care,:
2007,Denmark,Euro per inhabitant,Providers of health care system administration and financing,:
2007,Denmark,Euro per inhabitant,Government health administration agencies,:
2007,Denmark,Euro per inhabitant,Social health insurance agencies,:
2007,Denmark,Euro per inhabitant,Private health insurance administration agencies,:
2007,Denmark,Euro per inhabitant,Other administration agencies,:
2007,Denmark,Euro per inhabitant,Rest of economy,:
2007,Denmark,Euro per inhabitant,Households as providers of home health care,:
2007,Denmark,Euro per inhabitant,All other industries as secondary providers of health care,:
2007,Denmark,Euro per inhabitant,Other industries n.e.c.,:
2007,Denmark,Euro per inhabitant,Rest of the world,:
2007,Denmark,Euro per inhabitant,Providers unknown,:
2007,Germany (until 1990 former territory of the FRG),Euro per inhabitant,All providers of health care,3050.27
2007,Germany (until 1990 former territory of the FRG),Euro per inhabitant,Hospitals,882.92
2007,Germany (until 1990 former territory of the FRG),Euro per inhabitant,General hospitals,788.61
2007,Germany (until 1990 former territory of the FRG),Euro per inhabitant,Mental health hospitals,:
2007,Germany (until 1990 former territory of the FRG),Euro per inhabitant,Specialised hospitals (other than mental health hospitals),94.33
2007,Germany (until 1990 former territory of the FRG),Euro per inhabitant,Residential long-term care facilities,276.01
2007,Germany (until 1990 former territory of the FRG),Euro per inhabitant,Long-term nursing care facilities,275.95
2007,Germany (until 1990 former territory of the FRG),Euro per inhabitant,Mental health and substance abuse facilities,:
2007,Germany (until 1990 former territory of the FRG),Euro per inhabitant,Other residential long-term care facilities,0.05
2007,Germany (until 1990 former territory of the FRG),Euro per inhabitant,Providers of ambulatory health care,932
2007,Germany (until 1990 former territory of the FRG),Euro per inhabitant,Medical practices,459.77
2007,Germany (until 1990 former territory of the FRG),Euro per inhabitant,Dental practice,245.7
2007,Germany (until 1990 former territory of the FRG),Euro per inhabitant,Other health care practitioners,98.41
2007,Germany (until 1990 former territory of the FRG),Euro per inhabitant,Ambulatory health care centres,20.01
2007,Germany (until 1990 former territory of the FRG),Euro per inhabitant,Providers of home health care services,108.1
2007,Germany (until 1990 former territory of the FRG),Euro per inhabitant,Providers of ancillary services,33.62
2007,Germany (until 1990 former territory of the FRG),Euro per inhabitant,Providers of patient transportation and emergency rescue,33.22
2007,Germany (until 1990 former territory of the FRG),Euro per inhabitant,Medical and diagnostic laboratories,:
2007,Germany (until 1990 former territory of the FRG),Euro per inhabitant,Other providers of ancillary services,0.4
2007,Germany (until 1990 former territory of the FRG),Euro per inhabitant,Retailers and other providers of medical goods,620.73
2007,Germany (until 1990 former territory of the FRG),Euro per inhabitant,Pharmacies,457.73
2007,Germany (until 1990 former territory of the FRG),Euro per inhabitant,Retail sellers and other suppliers of durable medical goods and medical appliances,130.75
2007,Germany (until 1990 former territory of the FRG),Euro per inhabitant,All other miscellaneous sellers and other suppliers of pharmaceuticals and medical goods,32.25
2007,Germany (until 1990 former territory of the FRG),Euro per inhabitant,Providers of preventive care,23.08
2007,Germany (until 1990 former territory of the FRG),Euro per inhabitant,Providers of health care system administration and financing,178.02
2007,Germany (until 1990 former territory of the FRG),Euro per inhabitant,Government health administration agencies,:
2007,Germany (until 1990 former territory of the FRG),Euro per inhabitant,Social health insurance agencies,135.52
2007,Germany (until 1990 former territory of the FRG),Euro per inhabitant,Private health insurance administration agencies,42.5
2007,Germany (until 1990 former territory of the FRG),Euro per inhabitant,Other administration agencies,:
2007,Germany (until 1990 former territory of the FRG),Euro per inhabitant,Rest of economy,90.38
2007,Germany (until 1990 former territory of the FRG),Euro per inhabitant,Households as providers of home health care,66.33
2007,Germany (until 1990 former territory of the FRG),Euro per inhabitant,All other industries as secondary providers of health care,24.04
2007,Germany (until 1990 former territory of the FRG),Euro per inhabitant,Other industries n.e.c.,:
2007,Germany (until 1990 former territory of the FRG),Euro per inhabitant,Rest of the world,13.52
2007,Germany (until 1990 former territory of the FRG),Euro per inhabitant,Providers unknown,:
2007,Estonia,Euro per inhabitant,All providers of health care,:
2007,Estonia,Euro per inhabitant,Hospitals,:
2007,Estonia,Euro per inhabitant,General hospitals,:
2007,Estonia,Euro per inhabitant,Mental health hospitals,:
2007,Estonia,Euro per inhabitant,Specialised hospitals (other than mental health hospitals),:
2007,Estonia,Euro per inhabitant,Residential long-term care facilities,:
2007,Estonia,Euro per inhabitant,Long-term nursing care facilities,:
2007,Estonia,Euro per inhabitant,Mental health and substance abuse facilities,:
2007,Estonia,Euro per inhabitant,Other residential long-term care facilities,:
2007,Estonia,Euro per inhabitant,Providers of ambulatory health care,:
2007,Estonia,Euro per inhabitant,Medical practices,:
2007,Estonia,Euro per inhabitant,Dental practice,:
2007,Estonia,Euro per inhabitant,Other health care practitioners,:
2007,Estonia,Euro per inhabitant,Ambulatory health care centres,:
2007,Estonia,Euro per inhabitant,Providers of home health care services,:
2007,Estonia,Euro per inhabitant,Providers of ancillary services,:
2007,Estonia,Euro per inhabitant,Providers of patient transportation and emergency rescue,:
2007,Estonia,Euro per inhabitant,Medical and diagnostic laboratories,:
2007,Estonia,Euro per inhabitant,Other providers of ancillary services,:
2007,Estonia,Euro per inhabitant,Retailers and other providers of medical goods,:
2007,Estonia,Euro per inhabitant,Pharmacies,:
2007,Estonia,Euro per inhabitant,Retail sellers and other suppliers of durable medical goods and medical appliances,:
2007,Estonia,Euro per inhabitant,All other miscellaneous sellers and other suppliers of pharmaceuticals and medical goods,:
2007,Estonia,Euro per inhabitant,Providers of preventive care,:
2007,Estonia,Euro per inhabitant,Providers of health care system administration and financing,:
2007,Estonia,Euro per inhabitant,Government health administration agencies,:
2007,Estonia,Euro per inhabitant,Social health insurance agencies,:
2007,Estonia,Euro per inhabitant,Private health insurance administration agencies,:
2007,Estonia,Euro per inhabitant,Other administration agencies,:
2007,Estonia,Euro per inhabitant,Rest of economy,:
2007,Estonia,Euro per inhabitant,Households as providers of home health care,:
2007,Estonia,Euro per inhabitant,All other industries as secondary providers of health care,:
2007,Estonia,Euro per inhabitant,Other industries n.e.c.,:
2007,Estonia,Euro per inhabitant,Rest of the world,:
2007,Estonia,Euro per inhabitant,Providers unknown,:
2007,Ireland,Euro per inhabitant,All providers of health care,:
2007,Ireland,Euro per inhabitant,Hospitals,:
2007,Ireland,Euro per inhabitant,General hospitals,:
2007,Ireland,Euro per inhabitant,Mental health hospitals,:
2007,Ireland,Euro per inhabitant,Specialised hospitals (other than mental health hospitals),:
2007,Ireland,Euro per inhabitant,Residential long-term care facilities,:
2007,Ireland,Euro per inhabitant,Long-term nursing care facilities,:
2007,Ireland,Euro per inhabitant,Mental health and substance abuse facilities,:
2007,Ireland,Euro per inhabitant,Other residential long-term care facilities,:
2007,Ireland,Euro per inhabitant,Providers of ambulatory health care,:
2007,Ireland,Euro per inhabitant,Medical practices,:
2007,Ireland,Euro per inhabitant,Dental practice,:
2007,Ireland,Euro per inhabitant,Other health care practitioners,:
2007,Ireland,Euro per inhabitant,Ambulatory health care centres,:
2007,Ireland,Euro per inhabitant,Providers of home health care services,:
2007,Ireland,Euro per inhabitant,Providers of ancillary services,:
2007,Ireland,Euro per inhabitant,Providers of patient transportation and emergency rescue,:
2007,Ireland,Euro per inhabitant,Medical and diagnostic laboratories,:
2007,Ireland,Euro per inhabitant,Other providers of ancillary services,:
2007,Ireland,Euro per inhabitant,Retailers and other providers of medical goods,:
2007,Ireland,Euro per inhabitant,Pharmacies,:
2007,Ireland,Euro per inhabitant,Retail sellers and other suppliers of durable medical goods and medical appliances,:
2007,Ireland,Euro per inhabitant,All other miscellaneous sellers and other suppliers of pharmaceuticals and medical goods,:
2007,Ireland,Euro per inhabitant,Providers of preventive care,:
2007,Ireland,Euro per inhabitant,Providers of health care system administration and financing,:
2007,Ireland,Euro per inhabitant,Government health administration agencies,:
2007,Ireland,Euro per inhabitant,Social health insurance agencies,:
2007,Ireland,Euro per inhabitant,Private health insurance administration agencies,:
2007,Ireland,Euro per inhabitant,Other administration agencies,:
2007,Ireland,Euro per inhabitant,Rest of economy,:
2007,Ireland,Euro per inhabitant,Households as providers of home health care,:
2007,Ireland,Euro per inhabitant,All other industries as secondary providers of health care,:
2007,Ireland,Euro per inhabitant,Other industries n.e.c.,:
2007,Ireland,Euro per inhabitant,Rest of the world,:
2007,Ireland,Euro per inhabitant,Providers unknown,:
2007,Greece,Euro per inhabitant,All providers of health care,:
2007,Greece,Euro per inhabitant,Hospitals,:
2007,Greece,Euro per inhabitant,General hospitals,:
2007,Greece,Euro per inhabitant,Mental health hospitals,:
2007,Greece,Euro per inhabitant,Specialised hospitals (other than mental health hospitals),:
2007,Greece,Euro per inhabitant,Residential long-term care facilities,:
2007,Greece,Euro per inhabitant,Long-term nursing care facilities,:
2007,Greece,Euro per inhabitant,Mental health and substance abuse facilities,:
2007,Greece,Euro per inhabitant,Other residential long-term care facilities,:
2007,Greece,Euro per inhabitant,Providers of ambulatory health care,:
2007,Greece,Euro per inhabitant,Medical practices,:
2007,Greece,Euro per inhabitant,Dental practice,:
2007,Greece,Euro per inhabitant,Other health care practitioners,:
2007,Greece,Euro per inhabitant,Ambulatory health care centres,:
2007,Greece,Euro per inhabitant,Providers of home health care services,:
2007,Greece,Euro per inhabitant,Providers of ancillary services,:
2007,Greece,Euro per inhabitant,Providers of patient transportation and emergency rescue,:
2007,Greece,Euro per inhabitant,Medical and diagnostic laboratories,:
2007,Greece,Euro per inhabitant,Other providers of ancillary services,:
2007,Greece,Euro per inhabitant,Retailers and other providers of medical goods,:
2007,Greece,Euro per inhabitant,Pharmacies,:
2007,Greece,Euro per inhabitant,Retail sellers and other suppliers of durable medical goods and medical appliances,:
2007,Greece,Euro per inhabitant,All other miscellaneous sellers and other suppliers of pharmaceuticals and medical goods,:
2007,Greece,Euro per inhabitant,Providers of preventive care,:
2007,Greece,Euro per inhabitant,Providers of health care system administration and financing,:
2007,Greece,Euro per inhabitant,Government health administration agencies,:
2007,Greece,Euro per inhabitant,Social health insurance agencies,:
2007,Greece,Euro per inhabitant,Private health insurance administration agencies,:
2007,Greece,Euro per inhabitant,Other administration agencies,:
2007,Greece,Euro per inhabitant,Rest of economy,:
2007,Greece,Euro per inhabitant,Households as providers of home health care,:
2007,Greece,Euro per inhabitant,All other industries as secondary providers of health care,:
2007,Greece,Euro per inhabitant,Other industries n.e.c.,:
2007,Greece,Euro per inhabitant,Rest of the world,:
2007,Greece,Euro per inhabitant,Providers unknown,:
2007,Spain,Euro per inhabitant,All providers of health care,1872.78
2007,Spain,Euro per inhabitant,Hospitals,733.38
2007,Spain,Euro per inhabitant,General hospitals,676.62
2007,Spain,Euro per inhabitant,Mental health hospitals,14.63
2007,Spain,Euro per inhabitant,Specialised hospitals (other than mental health hospitals),42.13
2007,Spain,Euro per inhabitant,Residential long-term care facilities,93.24
2007,Spain,Euro per inhabitant,Long-term nursing care facilities,92.34
2007,Spain,Euro per inhabitant,Mental health and substance abuse facilities,0.9
2007,Spain,Euro per inhabitant,Other residential long-term care facilities,:
2007,Spain,Euro per inhabitant,Providers of ambulatory health care,480.71
2007,Spain,Euro per inhabitant,Medical practices,141.36
2007,Spain,Euro per inhabitant,Dental practice,132.03
2007,Spain,Euro per inhabitant,Other health care practitioners,14.62
2007,Spain,Euro per inhabitant,Ambulatory health care centres,171.35
2007,Spain,Euro per inhabitant,Providers of home health care services,21.35
2007,Spain,Euro per inhabitant,Providers of ancillary services,31.3
2007,Spain,Euro per inhabitant,Providers of patient transportation and emergency rescue,17.84
2007,Spain,Euro per inhabitant,Medical and diagnostic laboratories,13.47
2007,Spain,Euro per inhabitant,Other providers of ancillary services,0
2007,Spain,Euro per inhabitant,Retailers and other providers of medical goods,427.71
2007,Spain,Euro per inhabitant,Pharmacies,356.01
2007,Spain,Euro per inhabitant,Retail sellers and other suppliers of durable medical goods and medical appliances,71.7
2007,Spain,Euro per inhabitant,All other miscellaneous sellers and other suppliers of pharmaceuticals and medical goods,0
2007,Spain,Euro per inhabitant,Providers of preventive care,20.41
2007,Spain,Euro per inhabitant,Providers of health care system administration and financing,65.51
2007,Spain,Euro per inhabitant,Government health administration agencies,25.13
2007,Spain,Euro per inhabitant,Social health insurance agencies,4.41
2007,Spain,Euro per inhabitant,Private health insurance administration agencies,35.97
2007,Spain,Euro per inhabitant,Other administration agencies,0
2007,Spain,Euro per inhabitant,Rest of economy,20.42
2007,Spain,Euro per inhabitant,Households as providers of home health care,14.39
2007,Spain,Euro per inhabitant,All other industries as secondary providers of health care,6.03
2007,Spain,Euro per inhabitant,Other industries n.e.c.,:
2007,Spain,Euro per inhabitant,Rest of the world,0.09
2007,Spain,Euro per inhabitant,Providers unknown,0
2007,France,Euro per inhabitant,All providers of health care,3036.69
2007,France,Euro per inhabitant,Hospitals,1191.56
2007,France,Euro per inhabitant,General hospitals,990.34
2007,France,Euro per inhabitant,Mental health hospitals,196.17
2007,France,Euro per inhabitant,Specialised hospitals (other than mental health hospitals),5.04
2007,France,Euro per inhabitant,Residential long-term care facilities,173.62
2007,France,Euro per inhabitant,Long-term nursing care facilities,168.85
2007,France,Euro per inhabitant,Mental health and substance abuse facilities,4.77
2007,France,Euro per inhabitant,Other residential long-term care facilities,:
2007,France,Euro per inhabitant,Providers of ambulatory health care,663.94
2007,France,Euro per inhabitant,Medical practices,302.97
2007,France,Euro per inhabitant,Dental practice,149.73
2007,France,Euro per inhabitant,Other health care practitioners,144.08
2007,France,Euro per inhabitant,Ambulatory health care centres,22.53
2007,France,Euro per inhabitant,Providers of home health care services,44.63
2007,France,Euro per inhabitant,Providers of ancillary services,96.98
2007,France,Euro per inhabitant,Providers of patient transportation and emergency rescue,33.71
2007,France,Euro per inhabitant,Medical and diagnostic laboratories,63.26
2007,France,Euro per inhabitant,Other providers of ancillary services,0
2007,France,Euro per inhabitant,Retailers and other providers of medical goods,659.04
2007,France,Euro per inhabitant,Pharmacies,583.5
2007,France,Euro per inhabitant,Retail sellers and other suppliers of durable medical goods and medical appliances,75.54
2007,France,Euro per inhabitant,All other miscellaneous sellers and other suppliers of pharmaceuticals and medical goods,0
2007,France,Euro per inhabitant,Providers of preventive care,46.03
2007,France,Euro per inhabitant,Providers of health care system administration and financing,182.12
2007,France,Euro per inhabitant,Government health administration agencies,10.72
2007,France,Euro per inhabitant,Social health insurance agencies,94.8
2007,France,Euro per inhabitant,Private health insurance administration agencies,76.23
2007,France,Euro per inhabitant,Other administration agencies,0.37
2007,France,Euro per inhabitant,Rest of economy,23.4
2007,France,Euro per inhabitant,Households as providers of home health care,:
2007,France,Euro per inhabitant,All other industries as secondary providers of health care,23.4
2007,France,Euro per inhabitant,Other industries n.e.c.,:
2007,France,Euro per inhabitant,Rest of the world,:
2007,France,Euro per inhabitant,Providers unknown,:
2007,Croatia,Euro per inhabitant,All providers of health care,:
2007,Croatia,Euro per inhabitant,Hospitals,:
2007,Croatia,Euro per inhabitant,General hospitals,:
2007,Croatia,Euro per inhabitant,Mental health hospitals,:
2007,Croatia,Euro per inhabitant,Specialised hospitals (other than mental health hospitals),:
2007,Croatia,Euro per inhabitant,Residential long-term care facilities,:
2007,Croatia,Euro per inhabitant,Long-term nursing care facilities,:
2007,Croatia,Euro per inhabitant,Mental health and substance abuse facilities,:
2007,Croatia,Euro per inhabitant,Other residential long-term care facilities,:
2007,Croatia,Euro per inhabitant,Providers of ambulatory health care,:
2007,Croatia,Euro per inhabitant,Medical practices,:
2007,Croatia,Euro per inhabitant,Dental practice,:
2007,Croatia,Euro per inhabitant,Other health care practitioners,:
2007,Croatia,Euro per inhabitant,Ambulatory health care centres,:
2007,Croatia,Euro per inhabitant,Providers of home health care services,:
2007,Croatia,Euro per inhabitant,Providers of ancillary services,:
2007,Croatia,Euro per inhabitant,Providers of patient transportation and emergency rescue,:
2007,Croatia,Euro per inhabitant,Medical and diagnostic laboratories,:
2007,Croatia,Euro per inhabitant,Other providers of ancillary services,:
2007,Croatia,Euro per inhabitant,Retailers and other providers of medical goods,:
2007,Croatia,Euro per inhabitant,Pharmacies,:
2007,Croatia,Euro per inhabitant,Retail sellers and other suppliers of durable medical goods and medical appliances,:
2007,Croatia,Euro per inhabitant,All other miscellaneous sellers and other suppliers of pharmaceuticals and medical goods,:
2007,Croatia,Euro per inhabitant,Providers of preventive care,:
2007,Croatia,Euro per inhabitant,Providers of health care system administration and financing,:
2007,Croatia,Euro per inhabitant,Government health administration agencies,:
2007,Croatia,Euro per inhabitant,Social health insurance agencies,:
2007,Croatia,Euro per inhabitant,Private health insurance administration agencies,:
2007,Croatia,Euro per inhabitant,Other administration agencies,:
2007,Croatia,Euro per inhabitant,Rest of economy,:
2007,Croatia,Euro per inhabitant,Households as providers of home health care,:
2007,Croatia,Euro per inhabitant,All other industries as secondary providers of health care,:
2007,Croatia,Euro per inhabitant,Other industries n.e.c.,:
2007,Croatia,Euro per inhabitant,Rest of the world,:
2007,Croatia,Euro per inhabitant,Providers unknown,:
2007,Italy,Euro per inhabitant,All providers of health care,:
2007,Italy,Euro per inhabitant,Hospitals,:
2007,Italy,Euro per inhabitant,General hospitals,:
2007,Italy,Euro per inhabitant,Mental health hospitals,:
2007,Italy,Euro per inhabitant,Specialised hospitals (other than mental health hospitals),:
2007,Italy,Euro per inhabitant,Residential long-term care facilities,:
2007,Italy,Euro per inhabitant,Long-term nursing care facilities,:
2007,Italy,Euro per inhabitant,Mental health and substance abuse facilities,:
2007,Italy,Euro per inhabitant,Other residential long-term care facilities,:
2007,Italy,Euro per inhabitant,Providers of ambulatory health care,:
2007,Italy,Euro per inhabitant,Medical practices,:
2007,Italy,Euro per inhabitant,Dental practice,:
2007,Italy,Euro per inhabitant,Other health care practitioners,:
2007,Italy,Euro per inhabitant,Ambulatory health care centres,:
2007,Italy,Euro per inhabitant,Providers of home health care services,:
2007,Italy,Euro per inhabitant,Providers of ancillary services,:
2007,Italy,Euro per inhabitant,Providers of patient transportation and emergency rescue,:
2007,Italy,Euro per inhabitant,Medical and diagnostic laboratories,:
2007,Italy,Euro per inhabitant,Other providers of ancillary services,:
2007,Italy,Euro per inhabitant,Retailers and other providers of medical goods,:
2007,Italy,Euro per inhabitant,Pharmacies,:
2007,Italy,Euro per inhabitant,Retail sellers and other suppliers of durable medical goods and medical appliances,:
2007,Italy,Euro per inhabitant,All other miscellaneous sellers and other suppliers of pharmaceuticals and medical goods,:
2007,Italy,Euro per inhabitant,Providers of preventive care,:
2007,Italy,Euro per inhabitant,Providers of health care system administration and financing,:
2007,Italy,Euro per inhabitant,Government health administration agencies,:
2007,Italy,Euro per inhabitant,Social health insurance agencies,:
2007,Italy,Euro per inhabitant,Private health insurance administration agencies,:
2007,Italy,Euro per inhabitant,Other administration agencies,:
2007,Italy,Euro per inhabitant,Rest of economy,:
2007,Italy,Euro per inhabitant,Households as providers of home health care,:
2007,Italy,Euro per inhabitant,All other industries as secondary providers of health care,:
2007,Italy,Euro per inhabitant,Other industries n.e.c.,:
2007,Italy,Euro per inhabitant,Rest of the world,:
2007,Italy,Euro per inhabitant,Providers unknown,:
2007,Cyprus,Euro per inhabitant,All providers of health care,:
2007,Cyprus,Euro per inhabitant,Hospitals,:
2007,Cyprus,Euro per inhabitant,General hospitals,:
2007,Cyprus,Euro per inhabitant,Mental health hospitals,:
2007,Cyprus,Euro per inhabitant,Specialised hospitals (other than mental health hospitals),:
